Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A14006_001,SE_A10060_001,SE_A10060_002,SE_A10060_003
26001000000,14000US26001000000,"Census Tract 0, Alcona County, Michigan","Census Tract 0, Alcona County, Michigan",mi,140,0,ACSSF,9164,,,,,26,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
26001980100,14000US26001980100,"Census Tract 9801, Alcona County, Michigan","Census Tract 9801, Alcona County, Michigan",mi,140,0,ACSSF,9165,,,,,26,1,,,,980100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2648,2637,2570,12,5,0,0,0,50,11,10,0,0,0,0,1,0,35845,1065,935,130
26001980200,14000US26001980200,"Census Tract 9802, Alcona County, Michigan","Census Tract 9802, Alcona County, Michigan",mi,140,0,ACSSF,9166,,,,,26,1,,,,980200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1620,1603,1589,0,0,14,0,0,0,17,6,0,0,0,0,0,11,40388,753,736,17
26001980400,14000US26001980400,"Census Tract 9804, Alcona County, Michigan","Census Tract 9804, Alcona County, Michigan",mi,140,0,ACSSF,9167,,,,,26,1,,,,980400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3022,2992,2966,0,12,8,6,0,0,30,27,0,0,0,0,3,0,34327,1179,1022,157
26001980500,14000US26001980500,"Census Tract 9805, Alcona County, Michigan","Census Tract 9805, Alcona County, Michigan",mi,140,0,ACSSF,9168,,,,,26,1,,,,980500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2457,2430,2325,0,55,0,0,0,50,27,13,0,0,0,0,10,4,32987,1112,994,118
26001980600,14000US26001980600,"Census Tract 9806, Alcona County, Michigan","Census Tract 9806, Alcona County, Michigan",mi,140,0,ACSSF,9169,,,,,26,1,,,,980600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1614,1596,1521,13,0,0,0,3,59,18,18,0,0,0,0,0,0,36193,665,607,58
26003000000,14000US26003000000,"Census Tract 0, Alger County, Michigan","Census Tract 0, Alger County, Michigan",mi,140,0,ACSSF,9170,,,,,26,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
26003980100,14000US26003980100,"Census Tract 9801, Alger County, Michigan","Census Tract 9801, Alger County, Michigan",mi,140,0,ACSSF,9171,,,,,26,3,,,,980100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4106,4053,3589,208,119,26,0,0,111,53,41,0,6,0,0,6,0,39940,1715,1279,436
26003980200,14000US26003980200,"Census Tract 9802, Alger County, Michigan","Census Tract 9802, Alger County, Michigan",mi,140,0,ACSSF,9172,,,,,26,3,,,,980200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2894,2888,2755,9,84,11,0,0,29,6,5,0,0,0,0,1,0,40372,1240,1061,179
26003980300,14000US26003980300,"Census Tract 9803, Alger County, Michigan","Census Tract 9803, Alger County, Michigan",mi,140,0,ACSSF,9173,,,,,26,3,,,,980300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2512,2458,1901,531,15,0,0,0,11,54,29,12,0,0,0,12,1,48854,817,744,73
