date,BlackKnight HPI year-over-year,geo
2001-02-01,0.062488323598980516,"DETROIT, MI"
2001-03-01,0.06199700233818963,"DETROIT, MI"
2001-04-01,0.058537861877289224,"DETROIT, MI"
2001-05-01,0.05952359292140814,"DETROIT, MI"
2001-06-01,0.06260080228090346,"DETROIT, MI"
2001-07-01,0.06009868955204452,"DETROIT, MI"
2001-08-01,0.056038266339976106,"DETROIT, MI"
2001-09-01,0.05505577788019719,"DETROIT, MI"
2001-10-01,0.05185294859262929,"DETROIT, MI"
2001-11-01,0.046402095357197796,"DETROIT, MI"
2001-12-01,0.039783906066949114,"DETROIT, MI"
2002-01-01,0.03549610266394254,"DETROIT, MI"
2002-02-01,0.029366964270151466,"DETROIT, MI"
2002-03-01,0.027526977466415435,"DETROIT, MI"
2002-04-01,0.029251132449111827,"DETROIT, MI"
2002-05-01,0.027588714664561146,"DETROIT, MI"
2002-06-01,0.030939835738700593,"DETROIT, MI"
2002-07-01,0.031001777992588724,"DETROIT, MI"
2002-08-01,0.027106675158961695,"DETROIT, MI"
2002-09-01,0.026412426488575242,"DETROIT, MI"
2002-10-01,0.027036151761763966,"DETROIT, MI"
2002-11-01,0.030343217668823776,"DETROIT, MI"
2002-12-01,0.035121897926431785,"DETROIT, MI"
2003-01-01,0.038320321435729734,"DETROIT, MI"
2003-02-01,0.0395340490598413,"DETROIT, MI"
2003-03-01,0.03889381680253256,"DETROIT, MI"
2003-04-01,0.03677870514438469,"DETROIT, MI"
2003-05-01,0.03283124222773692,"DETROIT, MI"
2003-06-01,0.026638568789177,"DETROIT, MI"
2003-07-01,0.02178698402279159,"DETROIT, MI"
2003-08-01,0.018131547680215392,"DETROIT, MI"
2003-09-01,0.021105095250597956,"DETROIT, MI"
2003-10-01,0.022887732815583074,"DETROIT, MI"
2003-11-01,0.022532711799288944,"DETROIT, MI"
2003-12-01,0.02422895077250347,"DETROIT, MI"
2004-01-01,0.021594060741283557,"DETROIT, MI"
2004-02-01,0.023619620847452803,"DETROIT, MI"
