AggTypeName,AggValueCode,AggValueName,PropertyTypeName,DateYyyyMm,PriceTier1,PriceTier3,PriceTier5,HPISA,HPINorm2000,yyyymm,hpi
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200302,73907,148520,365010,162669,114.70120011940526,200302,162669
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200303,74890,149174,365454,163193,115.25713812653152,200303,163193
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200304,75510,149921,366342,163670,115.82151424425662,200304,163670
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200305,75973,150590,367022,163728,116.33194834299216,200305,163728
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200306,76250,151225,367556,163519,116.79316184598922,200306,163519
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200307,76047,151122,366538,163068,116.55782498446372,200307,163068
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200308,75331,150378,364721,162585,115.76033778063481,200308,162585
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200309,75394,150232,365862,162917,115.93158068922524,200309,162917
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200310,75217,150264,366403,163402,115.9642007640112,200310,163402
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200311,74894,149834,366108,163788,115.68727759411092,200311,163788
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200312,74833,150417,367298,164132,116.04617845749674,200312,164132
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200401,74574,150263,366869,164283,115.90781251726405,200401,164283
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200402,74884,150852,366713,164688,116.26540170916519,200402,164688
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200403,75178,151145,365405,164828,116.41540724530384,200403,164828
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200404,75323,151240,364769,164741,116.47404182520602,200404,164741
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200405,75729,151799,366046,164857,116.96939061978991,200405,164857
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200406,76472,152690,368545,165212,117.87993515806828,200406,165212
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200407,77127,153098,369973,165617,118.36737749474923,200407,165617
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200408,77196,152913,369215,165912,118.19377655846375,200408,165912
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200409,77571,152566,368868,166054,118.20888178506388,200409,166054
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200410,77785,152383,368696,166556,118.22094480740249,200410,166556
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200411,78038,152127,368897,167427,118.18013842270582,200411,167427
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200412,78701,153214,372062,168292,119.06547029913004,200412,168292
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200501,78982,153459,372911,168876,119.23807725629571,200501,168876
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200502,79590,153985,373029,169337,119.61495218883806,200502,169337
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200503,80098,154177,372143,169578,119.71606420547273,200503,169578
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200504,80427,154536,371993,169560,119.81691889391593,200504,169560
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200505,80849,154974,372326,169394,120.09948937732295,200505,169394
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200506,81540,155606,373486,169253,120.69195064058975,200506,169253
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200507,82397,156054,374977,169617,121.23564171459684,200507,169617
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200508,82584,155586,374140,169656,120.9432467676949,200508,169656
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200509,82975,155261,373460,169653,120.94128599563025,200509,169653
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200510,82878,154698,372010,169720,120.59921503060278,200510,169720
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200511,82416,153244,369369,169653,119.67086136781464,200511,169653
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200512,83101,154254,372224,170430,120.58541433542554,200512,170430
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200601,83557,154055,372748,170887,120.67422641688061,200601,170887
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200602,84022,153739,370844,170651,120.52195147586447,200602,170651
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200603,83966,152395,366776,169562,119.56009531826615,200603,169562
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200604,83408,151624,363551,168042,118.63544125280903,200604,168042
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200605,83388,151612,362220,167050,118.37945669131483,200605,167050
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200606,83864,152119,362014,166355,118.68364850285356,200606,166355
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200607,83690,151592,359736,165260,118.12729142699361,200607,165260
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200608,83409,151524,358024,164925,117.66743005873323,200608,164925
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200609,83535,151045,356617,164328,117.3573365834222,200609,164328
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200610,82973,150067,354502,163813,116.55804730108386,200610,163813
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200611,81737,148111,350397,162927,114.976311142527,200611,162927
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200612,81009,148294,350667,162466,114.86134585527894,200612,162466
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200701,79717,147143,348834,161558,113.86058907572784,200701,161558
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200702,78255,146219,345557,160148,112.81108658720602,200702,160148
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200703,76300,144531,340817,157914,111.06052405490902,200703,157914
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200704,74169,143745,338350,155668,109.86748445857269,200704,155668
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200705,71818,142274,335247,152765,108.28139271834996,200705,152765
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200706,69469,141030,333341,149675,106.85130052703255,200706,149675
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200707,66369,139443,330587,146444,104.85698387895435,200707,146444
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200708,62540,137049,325689,142938,102.08665417033215,200708,142938
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200709,59332,134949,322866,139571,99.892864438002292,200709,139571
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200710,55405,131551,316830,135571,96.560095924212007,200710,135571
